knowledge_dimension,cognitive_process_dimension
Conceptual,Apply
Procedural,Create
Conceptual,Analyze
Conceptual,Apply
Procedural,Analyze
Procedural,Analyze
Procedural,Remember
Metacognitive,Remember
Procedural,Evaluate
Metacognitive,Evaluate
Procedural,Analyze
Metacognitive,Analyze
Conceptual,Apply
Procedural,Apply
Conceptual,Apply
Conceptual,Apply
Metacognitive,Create
Conceptual,Apply
Conceptual,Analyze
Metacognitive,Evaluate
Factual,Apply
Metacognitive,Create
Conceptual,Apply
Factual,Remember
Procedural,Create
Conceptual,Understand
Factual,Remember
Conceptual,Understand
Factual,Remember
Conceptual,Analyze
Conceptual,Analyze
Conceptual,Analyze
Conceptual,Analyze
Conceptual,Understand
Conceptual,Analyze
Metacognitive,Analyze
Procedural,Apply